Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,22.370001,22.490000,22.190001,22.379999,22.379999,3414600
2018-01-03,22.320000,22.320000,21.570000,21.590000,21.590000,5207500
2018-01-04,21.650000,21.840000,21.280001,21.690001,21.690001,5247600
2018-01-05,21.750000,21.750000,21.330000,21.379999,21.379999,4837500
2018-01-08,21.459999,21.459999,21.150000,21.280001,21.280001,3947600
2018-01-09,20.610001,21.500000,20.610001,21.469999,21.469999,6086800
2018-01-10,21.559999,21.969999,21.420000,21.590000,21.590000,6219100
2018-01-11,22.129999,22.709999,21.809999,22.340000,22.340000,6444300
2018-01-12,22.430000,22.930000,22.420000,22.930000,22.930000,4362000
2018-01-16,23.000000,23.080000,22.270000,22.299999,22.299999,3788600
2018-01-17,22.590000,22.889999,22.430000,22.450001,22.450001,2892300
2018-01-18,22.510000,22.639999,22.400000,22.480000,22.480000,2422100
2018-01-19,22.549999,22.660000,22.400000,22.570000,22.570000,3154400
2018-01-22,22.469999,22.600000,22.280001,22.590000,22.590000,3126700
2018-01-23,22.610001,22.620001,22.270000,22.530001,22.530001,2952600
2018-01-24,21.629999,22.330000,21.400000,22.049999,22.049999,9589500
2018-01-25,21.860001,22.629999,20.500000,20.690001,20.690001,14993500
2018-01-26,20.790001,20.790001,20.110001,20.500000,20.500000,9839300
2018-01-29,20.410000,20.559999,20.190001,20.280001,20.280001,4544400
2018-01-30,20.389999,21.030001,20.360001,20.650000,20.650000,4957000
2018-01-31,20.870001,21.200001,20.719999,20.860001,20.860001,5333800
2018-02-01,20.870001,21.129999,20.719999,20.940001,20.940001,4959200
2018-02-02,20.870001,20.990000,20.290001,20.330000,20.330000,4036800
2018-02-05,20.200001,20.500000,19.809999,19.820000,19.820000,6611100
2018-02-06,19.639999,20.629999,19.450001,20.350000,20.350000,6311600
2018-02-07,20.340000,20.650000,20.230000,20.389999,20.389999,4987800
2018-02-08,20.400000,20.410000,19.820000,19.830000,19.830000,3716800
2018-02-09,20.000000,20.110001,19.230000,19.889999,19.889999,5875100
2018-02-12,20.110001,20.110001,19.639999,19.870001,19.870001,6753800
2018-02-13,19.820000,20.160000,19.700001,19.959999,19.959999,5566800
2018-02-14,19.950001,20.330000,19.809999,20.139999,20.139999,2894700
2018-02-15,20.290001,20.459999,20.059999,20.299999,20.299999,2687300
2018-02-16,20.320000,20.639999,20.290001,20.299999,20.299999,2173700
2018-02-20,20.200001,20.320000,19.910000,20.020000,20.020000,3276300
2018-02-21,20.070000,20.850000,20.010000,20.740000,20.740000,4887900
2018-02-22,20.760000,21.090000,20.760000,20.850000,20.850000,4645300
2018-02-23,20.900000,21.379999,20.719999,21.320000,21.320000,3138200
2018-02-26,21.459999,22.059999,21.350000,21.730000,21.730000,5642800
2018-02-27,21.790001,21.920000,21.330000,21.350000,21.350000,3080300
2018-02-28,21.410000,21.490000,21.010000,21.049999,21.049999,4227300
