Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,44.700001,45.610001,44.090000,45.599998,45.599998,899200
2018-01-03,45.540001,45.540001,43.470001,44.139999,44.139999,1413800
2018-01-04,43.939999,44.250000,43.330002,43.500000,43.500000,1823600
2018-01-05,43.750000,43.889999,43.450001,43.630001,43.630001,680700
2018-01-08,43.750000,43.750000,42.889999,43.230000,43.230000,1059900
2018-01-09,45.189999,45.189999,43.360001,43.590000,43.590000,1745600
2018-01-10,44.070000,44.930000,43.660000,44.910000,44.910000,1461400
2018-01-11,45.830002,48.020000,45.540001,47.570000,47.570000,2478700
2018-01-12,47.700001,48.810001,47.250000,48.259998,48.259998,1346700
2018-01-16,47.900002,47.950001,45.650002,46.209999,46.209999,2938200
2018-01-17,47.270000,47.340000,44.880001,44.889999,44.889999,2384000
2018-01-18,45.320000,45.610001,44.759998,44.959999,44.959999,842200
2018-01-19,45.070000,45.549999,44.790001,45.189999,45.189999,964600
2018-01-22,45.139999,45.290001,42.810001,43.330002,43.330002,2140500
2018-01-23,43.270000,44.669998,42.500000,44.590000,44.590000,1902600
2018-01-24,41.700001,42.860001,40.759998,41.529999,41.529999,3892400
2018-01-25,41.389999,41.619999,39.529999,40.180000,40.180000,1956500
2018-01-26,40.570000,41.490002,40.139999,41.480000,41.480000,1506200
2018-01-29,41.490002,41.740002,41.160000,41.419998,41.419998,878200
2018-01-30,41.310001,42.110001,40.849998,41.830002,41.830002,1048800
2018-01-31,42.110001,42.660000,41.970001,42.119999,42.119999,1077400
2018-02-01,41.889999,42.400002,41.610001,42.020000,42.020000,764600
2018-02-02,42.150002,42.290001,40.790001,41.070000,41.070000,888100
2018-02-05,40.669998,41.439999,39.720001,39.880001,39.880001,1386900
2018-02-06,40.060001,40.759998,38.799999,40.419998,40.419998,1893900
2018-02-07,41.180000,41.990002,40.209999,40.299999,40.299999,1800600
2018-02-08,40.250000,40.470001,39.000000,39.060001,39.060001,1508000
2018-02-09,39.419998,39.599998,37.799999,39.250000,39.250000,1335000
2018-02-12,39.520000,40.299999,38.889999,39.910000,39.910000,1619400
2018-02-13,39.840000,39.919998,38.490002,39.090000,39.090000,2428000
2018-02-14,38.849998,39.650002,38.799999,39.520000,39.520000,989500
2018-02-15,39.720001,39.889999,39.000000,39.639999,39.639999,1175400
2018-02-16,39.680000,40.119999,39.580002,39.720001,39.720001,585000
2018-02-20,39.520000,39.680000,38.830002,38.900002,38.900002,1089300
2018-02-21,39.189999,40.830002,39.090000,39.910000,39.910000,841100
2018-02-22,39.959999,40.540001,39.459999,39.480000,39.480000,844900
2018-02-23,39.900002,39.950001,38.930000,39.490002,39.490002,884400
2018-02-26,39.740002,40.189999,39.320000,40.080002,40.080002,1363400
2018-02-27,40.000000,40.330002,38.290001,38.750000,38.750000,1266000
2018-02-28,39.000000,40.000000,38.049999,39.840000,39.840000,1539800
2018-03-01,39.849998,41.240002,39.709999,40.500000,40.500000,2029800
2018-03-02,40.070000,41.990002,39.540001,41.849998,41.849998,2249400
2018-03-05,41.860001,42.299999,41.209999,41.720001,41.720001,1114000
2018-03-06,41.540001,42.480000,41.490002,42.160000,42.160000,995300
2018-03-07,41.610001,42.430000,41.570000,41.919998,41.919998,861200
2018-03-08,42.150002,43.459999,42.099998,42.970001,42.970001,955300
2018-03-09,43.389999,43.450001,42.700001,43.000000,43.000000,1054300
2018-03-12,42.970001,43.369999,42.470001,43.279999,43.279999,621300
2018-03-13,43.500000,45.130001,43.230000,45.090000,45.090000,1312000
2018-03-14,45.169998,45.820000,44.080002,44.419998,44.419998,1488000
2018-03-15,44.419998,44.919998,44.189999,44.279999,44.279999,760000
2018-03-16,44.330002,45.340000,44.330002,45.119999,45.119999,916600
2018-03-19,44.810001,45.130001,43.939999,44.439999,44.439999,735300
2018-03-20,44.500000,44.980000,44.230000,44.820000,44.820000,861000
2018-03-21,44.320000,44.320000,43.160000,43.189999,43.189999,1771700
2018-03-22,42.840000,43.720001,41.230000,41.270000,41.270000,1373600
2018-03-23,41.290001,41.590000,39.869999,39.959999,39.959999,1208000
2018-03-26,40.450001,40.450001,38.119999,38.270000,38.270000,2498300
2018-03-27,38.500000,38.509998,36.889999,37.189999,37.189999,2484900
2018-03-28,36.939999,38.000000,36.770000,36.990002,36.990002,1969200
2018-03-29,37.000000,38.060001,37.000000,37.779999,37.779999,1536000
2018-04-02,37.590000,37.750000,36.020000,36.349998,36.349998,1351400
2018-04-03,36.709999,37.330002,36.150002,37.220001,37.220001,1100400
2018-04-04,36.950001,37.790001,36.590000,37.700001,37.700001,1453200
2018-04-05,37.869999,38.330002,37.130001,38.299999,38.299999,804200
2018-04-06,37.959999,38.419998,37.400002,37.740002,37.740002,792200
2018-04-09,37.650002,37.970001,35.709999,35.750000,35.750000,2280000
2018-04-10,35.919998,36.009998,34.639999,35.250000,35.250000,2518400
2018-04-11,35.919998,36.680000,35.430000,35.750000,35.750000,2103600
2018-04-12,36.189999,36.529999,35.549999,36.290001,36.290001,1000000
2018-04-13,36.730000,36.939999,36.020000,36.150002,36.150002,695600
2018-04-16,36.599998,37.380001,36.230000,37.090000,37.090000,1107300
2018-04-17,37.270000,37.439999,36.470001,36.840000,36.840000,753400
2018-04-18,37.000000,38.740002,37.000000,38.240002,38.240002,1406700
2018-04-19,38.490002,38.490002,37.500000,38.000000,38.000000,1065300
2018-04-20,38.439999,39.470001,38.180000,38.430000,38.430000,1672800
2018-04-23,38.509998,39.240002,38.230000,38.820000,38.820000,1277900
