country,Date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,female_smokers,male_smokers,hospital_beds_per_thousand
USA,2020/1/22,1,,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/1/23,1,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/1/24,2,1,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/1/25,2,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/1/26,5,3,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/1/27,5,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/1/28,5,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/1/29,6,1,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/1/30,6,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/1/31,8,2,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/1,8,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/2,8,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/3,11,3,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/4,11,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/5,11,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/6,12,1,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/7,12,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/8,12,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/9,12,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/10,12,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/11,13,1,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/12,13,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/13,14,1,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/14,14,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/15,14,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/16,14,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/17,14,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/18,14,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/19,14,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/20,14,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/21,16,2,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/22,16,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/23,16,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/24,16,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/25,16,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/26,16,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/27,17,1,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/28,17,0,,,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/2/29,25,8,1,1,,,,,,,,,,,,,,,19.1,24.6,2.77
USA,2020/3/1,32,7,1,0,,,,,,183,183,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/2,55,23,6,5,,,,,,455,638,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/3,74,19,7,1,,,,,,810,1448,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/4,107,33,11,4,,,,,,896,2344,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/5,184,77,12,1,3.72,,,,,1150,3494,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/6,237,53,14,2,3.6,,,,,1512,5006,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/7,403,166,17,3,3.61,,,,,1797,6803,0.118,8.5,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/8,519,116,21,4,3.42,,,0,6,1587,8390,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/9,594,75,22,1,3.31,,,,,2239,10629,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/10,782,188,28,6,3.39,,,,,3229,13858,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/11,1147,365,33,5,3.48,,,,,4560,18418,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/12,1586,439,43,10,3.48,,,,,8607,27025,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/13,2219,633,51,8,3.45,,,,,11411,38436,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/14,2978,759,58,7,3.39,,,,,12817,51253,0.095,10.5,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/15,3212,234,70,12,3.34,,,0,31,14253,65506,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/16,4679,1467,97,27,3.52,,,,,26925,92431,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/17,6512,1833,134,37,3.58,,325,,,39547,131978,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/18,9169,2657,194,60,3.6,,416,,,49994,181972,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/19,13663,4494,266,72,3.58,,617,,,59754,241726,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/20,20030,6367,372,106,3.46,,1042,,,74662,316388,,,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/21,26025,5995,475,103,3.26,,1492,,,74781,391169,0.09,11.1,tests performed,,,,,19.1,24.6,2.77
USA,2020/3/22,34898,8873,588,113,3.1,,2173,0,2946,72752,463921,,,tests performed,,,,,19.1,24.6,2.77
